2024-04-24 19:55:35.983757 - Среднеквадратическое отклонение (MSE): 0.0. Спектрограммы, в промежутке от 0 до 2 секунд видео, совпадают.
2024-04-24 19:55:37.573254 - Среднеквадратическое отклонение (MSE): 0.15882407128810883. Спектрограммы, в промежутке от 2 до 4 секунд видео, совпадают.
2024-04-24 19:55:39.233129 - Среднеквадратическое отклонение (MSE): 0.23360466957092285. Спектрограммы, в промежутке от 4 до 6 секунд видео, совпадают.
2024-04-24 19:55:40.863254 - Среднеквадратическое отклонение (MSE): 0.2151428461074829. Спектрограммы, в промежутке от 6 до 8 секунд видео, совпадают.
2024-04-24 19:55:42.594156 - Среднеквадратическое отклонение (MSE): 0.2763945162296295. Спектрограммы, в промежутке от 8 до 10 секунд видео, совпадают.
2024-04-24 19:55:44.236159 - Среднеквадратическое отклонение (MSE): 0.33441609144210815. Спектрограммы, в промежутке от 10 до 12 секунд видео, совпадают.
2024-04-24 19:55:45.858396 - Среднеквадратическое отклонение (MSE): 0.2518290877342224. Спектрограммы, в промежутке от 12 до 14 секунд видео, совпадают.
2024-04-24 19:55:47.478629 - Среднеквадратическое отклонение (MSE): 0.29595720767974854. Спектрограммы, в промежутке от 14 до 16 секунд видео, совпадают.
2024-04-24 19:55:49.088492 - Среднеквадратическое отклонение (MSE): 0.271401971578598. Спектрограммы, в промежутке от 16 до 18 секунд видео, совпадают.
2024-04-24 19:55:50.727808 - Среднеквадратическое отклонение (MSE): 0.23663540184497833. Спектрограммы, в промежутке от 18 до 20 секунд видео, совпадают.
2024-04-24 19:55:52.336695 - Среднеквадратическое отклонение (MSE): 0.2675691843032837. Спектрограммы, в промежутке от 20 до 22 секунд видео, совпадают.
2024-04-24 19:55:53.942191 - Среднеквадратическое отклонение (MSE): 0.22314277291297913. Спектрограммы, в промежутке от 22 до 24 секунд видео, совпадают.
2024-04-24 19:55:55.605967 - Среднеквадратическое отклонение (MSE): 0.22049812972545624. Спектрограммы, в промежутке от 24 до 26 секунд видео, совпадают.
2024-04-24 19:55:57.267446 - Среднеквадратическое отклонение (MSE): 0.24367395043373108. Спектрограммы, в промежутке от 26 до 28 секунд видео, совпадают.
2024-04-24 19:55:58.873735 - Среднеквадратическое отклонение (MSE): 0.2205423265695572. Спектрограммы, в промежутке от 28 до 30 секунд видео, совпадают.
2024-04-24 19:56:00.478999 - Среднеквадратическое отклонение (MSE): 0.2417292296886444. Спектрограммы, в промежутке от 30 до 32 секунд видео, совпадают.
2024-04-24 19:56:02.042241 - Среднеквадратическое отклонение (MSE): 0.301791787147522. Спектрограммы, в промежутке от 32 до 34 секунд видео, совпадают.
2024-04-24 19:56:03.665898 - Среднеквадратическое отклонение (MSE): 0.31990599632263184. Спектрограммы, в промежутке от 34 до 36 секунд видео, совпадают.
2024-04-24 19:56:05.282720 - Среднеквадратическое отклонение (MSE): 0.5116214752197266. Спектрограммы, в промежутке от 36 до 38 секунд видео, не совпадают.
2024-04-24 19:56:06.950490 - Среднеквадратическое отклонение (MSE): 0.25065189599990845. Спектрограммы, в промежутке от 38 до 40 секунд видео, совпадают.
2024-04-24 19:56:08.612825 - Среднеквадратическое отклонение (MSE): 0.225433349609375. Спектрограммы, в промежутке от 40 до 42 секунд видео, совпадают.
2024-04-24 19:56:10.212679 - Среднеквадратическое отклонение (MSE): 0.4029655158519745. Спектрограммы, в промежутке от 42 до 44 секунд видео, совпадают.
2024-04-24 19:56:11.869169 - Среднеквадратическое отклонение (MSE): 0.27915576100349426. Спектрограммы, в промежутке от 44 до 46 секунд видео, совпадают.
2024-04-24 19:56:13.423486 - Среднеквадратическое отклонение (MSE): 0.23301120102405548. Спектрограммы, в промежутке от 46 до 48 секунд видео, совпадают.
2024-04-24 19:56:14.988924 - Среднеквадратическое отклонение (MSE): 0.3728116750717163. Спектрограммы, в промежутке от 48 до 50 секунд видео, совпадают.
2024-04-24 19:56:16.571294 - Среднеквадратическое отклонение (MSE): 0.38138678669929504. Спектрограммы, в промежутке от 50 до 52 секунд видео, совпадают.
2024-04-24 19:56:18.132329 - Среднеквадратическое отклонение (MSE): 0.20310884714126587. Спектрограммы, в промежутке от 52 до 54 секунд видео, совпадают.
2024-04-24 19:56:19.701738 - Среднеквадратическое отклонение (MSE): 0.19671249389648438. Спектрограммы, в промежутке от 54 до 56 секунд видео, совпадают.
2024-04-24 19:56:21.542307 - Среднеквадратическое отклонение (MSE): 0.3791932463645935. Спектрограммы, в промежутке от 56 до 58 секунд видео, совпадают.
2024-04-24 19:56:23.076988 - Среднеквадратическое отклонение (MSE): 0.33020633459091187. Спектрограммы, в промежутке от 58 до 60 секунд видео, совпадают.
2024-04-24 19:56:24.631712 - Среднеквадратическое отклонение (MSE): 0.23065105080604553. Спектрограммы, в промежутке от 60 до 62 секунд видео, совпадают.
2024-04-24 19:56:26.235460 - Среднеквадратическое отклонение (MSE): 0.4642069637775421. Спектрограммы, в промежутке от 62 до 64 секунд видео, совпадают.
2024-04-24 19:56:27.805597 - Среднеквадратическое отклонение (MSE): 0.3041102886199951. Спектрограммы, в промежутке от 64 до 66 секунд видео, совпадают.
2024-04-24 19:56:29.419795 - Среднеквадратическое отклонение (MSE): 0.29403382539749146. Спектрограммы, в промежутке от 66 до 68 секунд видео, совпадают.
2024-04-24 19:56:30.984629 - Среднеквадратическое отклонение (MSE): 0.41515299677848816. Спектрограммы, в промежутке от 68 до 70 секунд видео, совпадают.
2024-04-24 19:56:32.537992 - Среднеквадратическое отклонение (MSE): 0.419846773147583. Спектрограммы, в промежутке от 70 до 72 секунд видео, совпадают.
2024-04-24 19:56:34.110774 - Среднеквадратическое отклонение (MSE): 0.5177789330482483. Спектрограммы, в промежутке от 72 до 74 секунд видео, не совпадают.
2024-04-24 19:56:35.671566 - Среднеквадратическое отклонение (MSE): 0.2939770221710205. Спектрограммы, в промежутке от 74 до 76 секунд видео, совпадают.
2024-04-24 19:56:37.257551 - Среднеквадратическое отклонение (MSE): 0.3591485023498535. Спектрограммы, в промежутке от 76 до 78 секунд видео, совпадают.
2024-04-24 19:56:38.810476 - Среднеквадратическое отклонение (MSE): 0.4004397392272949. Спектрограммы, в промежутке от 78 до 80 секунд видео, совпадают.
2024-04-24 19:56:40.365749 - Среднеквадратическое отклонение (MSE): 0.18335939943790436. Спектрограммы, в промежутке от 80 до 82 секунд видео, совпадают.
2024-04-24 19:56:41.922252 - Среднеквадратическое отклонение (MSE): 0.21210996806621552. Спектрограммы, в промежутке от 82 до 84 секунд видео, совпадают.
2024-04-24 19:56:43.485210 - Среднеквадратическое отклонение (MSE): 0.2631651759147644. Спектрограммы, в промежутке от 84 до 86 секунд видео, совпадают.
2024-04-24 19:56:45.031947 - Среднеквадратическое отклонение (MSE): 0.33463162183761597. Спектрограммы, в промежутке от 86 до 88 секунд видео, совпадают.
2024-04-24 19:56:46.592446 - Среднеквадратическое отклонение (MSE): 0.3314524292945862. Спектрограммы, в промежутке от 88 до 90 секунд видео, совпадают.
2024-04-24 19:56:48.151943 - Среднеквадратическое отклонение (MSE): 0.34602484107017517. Спектрограммы, в промежутке от 90 до 92 секунд видео, совпадают.
2024-04-24 19:56:49.725656 - Среднеквадратическое отклонение (MSE): 0.4425792992115021. Спектрограммы, в промежутке от 92 до 94 секунд видео, совпадают.
2024-04-24 19:56:51.279579 - Среднеквадратическое отклонение (MSE): 0.4377860128879547. Спектрограммы, в промежутке от 94 до 96 секунд видео, совпадают.
2024-04-24 19:56:52.856767 - Среднеквадратическое отклонение (MSE): 0.4765695035457611. Спектрограммы, в промежутке от 96 до 98 секунд видео, совпадают.
2024-04-24 19:56:54.419528 - Среднеквадратическое отклонение (MSE): 0.31122854351997375. Спектрограммы, в промежутке от 98 до 100 секунд видео, совпадают.
2024-04-24 19:56:55.990590 - Среднеквадратическое отклонение (MSE): 0.43879684805870056. Спектрограммы, в промежутке от 100 до 102 секунд видео, совпадают.
2024-04-24 19:56:57.563108 - Среднеквадратическое отклонение (MSE): 0.3333793878555298. Спектрограммы, в промежутке от 102 до 104 секунд видео, совпадают.
2024-04-24 19:56:59.116357 - Среднеквадратическое отклонение (MSE): 0.2647813558578491. Спектрограммы, в промежутке от 104 до 106 секунд видео, совпадают.
2024-04-24 19:57:00.672156 - Среднеквадратическое отклонение (MSE): 0.337413489818573. Спектрограммы, в промежутке от 106 до 108 секунд видео, совпадают.
2024-04-24 19:57:02.246725 - Среднеквадратическое отклонение (MSE): 0.3790861666202545. Спектрограммы, в промежутке от 108 до 110 секунд видео, совпадают.
2024-04-24 19:57:03.797742 - Среднеквадратическое отклонение (MSE): 0.2418137788772583. Спектрограммы, в промежутке от 110 до 112 секунд видео, совпадают.
